shadow_S,shadow_gap
27909.0,199.0
24000.0,870.0
20801.0,341.0
22110.0,2430.0
20709.0,2499.0
16351.0,-1779.0
24399.0,4269.0
38929.0,-1481.0
41358.0,-722.0
42291.0,71.0
40462.0,-178.0
39256.0,-484.0
42275.0,3225.0
39470.0,1920.0
36215.0,105.0
37034.0,554.0
34047.0,-2403.0
37798.0,-142.0
38713.0,783.0
37841.0,1241.0
36224.0,984.0
34220.0,290.0
33992.0,662.0
33966.0,476.0
33467.0,927.0
31954.0,584.0
31958.0,288.0
31863.0,543.0
31097.0,737.0
30712.0,482.0
29846.0,456.0
29486.0,496.0
29450.0,570.0
29337.0,587.0
29639.0,589.0
28804.0,664.0
28766.0,756.0
28572.0,912.0
27667.0,977.0
27594.0,984.0
27700.0,1040.0
28021.0,1271.0
26932.0,1162.0
26180.0,1110.0
25891.0,1061.0
25787.0,977.0
26278.0,678.0
26074.0,804.0
25700.0,870.0
25426.0,1096.0
25357.0,1207.0
25561.0,1241.0
25385.0,135.0
27273.0,1023.0
27363.0,923.0
26849.0,79.0
23474.0,-406.0
38900.0,-1510.0
41151.0,-929.0
42234.0,14.0
40364.0,-276.0
39350.0,-390.0
42187.0,3137.0
39405.0,1855.0
36385.0,275.0
36693.0,213.0
34410.0,-2040.0
38039.0,99.0
38664.0,734.0
38246.0,1646.0
36715.0,1475.0
34522.0,592.0
33769.0,439.0
34037.0,547.0
33517.0,977.0
31937.0,567.0
31984.0,314.0
31772.0,452.0
30990.0,630.0
30583.0,353.0
29811.0,421.0
29597.0,607.0
29537.0,657.0
29366.0,616.0
29656.0,606.0
28842.0,702.0
28790.0,780.0
28595.0,935.0
27747.0,1057.0
27715.0,1105.0
27732.0,1072.0
28108.0,1358.0
27064.0,1294.0
26250.0,1180.0
25967.0,1137.0
25819.0,1009.0
26324.0,724.0
26026.0,756.0
25676.0,846.0
25364.0,1034.0
25361.0,1211.0
25604.0,1284.0
25308.0,58.0
27215.0,965.0
27290.0,850.0
28038.0,608.0
28761.0,1201.0
28488.0,978.0
28535.0,825.0
38826.0,-1584.0
41384.0,-696.0
42238.0,18.0
40426.0,-214.0
39242.0,-498.0
42193.0,3143.0
39516.0,1966.0
36596.0,486.0
37261.0,781.0
34494.0,-1956.0
37823.0,-117.0
38506.0,576.0
38156.0,1556.0
36688.0,1448.0
34356.0,426.0
33794.0,464.0
34001.0,511.0
33610.0,1070.0
31994.0,624.0
31936.0,266.0
31965.0,645.0
31139.0,779.0
30696.0,466.0
29913.0,523.0
29612.0,622.0
29574.0,694.0
29542.0,792.0
29649.0,599.0
28892.0,752.0
28770.0,760.0
28591.0,931.0
27796.0,1106.0
27790.0,1180.0
27802.0,1142.0
28121.0,1371.0
27115.0,1345.0
26244.0,1174.0
25994.0,1164.0
25811.0,1001.0
26226.0,626.0
26107.0,837.0
25660.0,830.0
25332.0,1002.0
25324.0,1174.0
25547.0,1227.0
25343.0,93.0
27100.0,850.0
27281.0,841.0
28185.0,755.0
29149.0,1049.0
29404.0,1844.0
29417.0,1707.0
28786.0,1076.0
38888.0,-1522.0
41163.0,-917.0
42276.0,56.0
40368.0,-272.0
39103.0,-637.0
42322.0,3272.0
39346.0,1796.0
36479.0,369.0
37234.0,754.0
34569.0,-1881.0
37658.0,-282.0
38599.0,669.0
38143.0,1543.0
36634.0,1394.0
34342.0,412.0
33828.0,498.0
34100.0,610.0
33601.0,1061.0
32119.0,749.0
32184.0,514.0
32118.0,798.0
31185.0,825.0
30697.0,467.0
30069.0,679.0
29677.0,687.0
29584.0,704.0
29611.0,861.0
29662.0,612.0
28887.0,747.0
28745.0,735.0
28666.0,1006.0
27870.0,1180.0
27841.0,1231.0
27827.0,1167.0
28085.0,1335.0
27163.0,1393.0
26241.0,1171.0
25990.0,1160.0
25796.0,986.0
26176.0,576.0
25939.0,669.0
25739.0,909.0
25350.0,1020.0
25295.0,1145.0
25531.0,1211.0
25314.0,64.0
27206.0,956.0
